Location,Species,ID,blood_parasites,parasite_type,Note
GL,,772,1,hepatozoon,
GL,,771,1,"hepatozoon, plasmodium",
PB,,775,0,,
PB,,774,0,,
PB,,,1,"toxoplasma, leucocytozoon",
PB,,773,0,,
GL,,251,1,leucocytozoon,
CV,,785,0,,
CV,,781,0,,
IF,,779,1,hepatozoon,
CV,,783,1,leucocytozoon,
CV,,,0,,
IF,,777,0,,
IF,,776,0,,
CV,,784,0,,
PB,,789,1,hepatozoon?,
IF,,663,0,,
PB,,788,0,,
CV,,,1,hepatozoon,
CV,,787,0,,
GL,,794,0,,
GL,,797,0,,
GL,,796,0,,
GL,,544,0,,
GL,,791,0,,
GL,,695,0,,
GL,,792,0,,
GL,,795,1,hepatozoon,
GL,,804,0,,
IF,,799,1,hepatozoon,
GL,,360,0,,
IF,,802,1,hepatozoon,
IF,,801,1,hepatozoon,only 1 found
IF,,800,1,hepatozoon,
IF,,798,0,,
GL,,624,0,,
IF,,16,0,,
MB,,806,1,"microfilaria, plasmodium?",
PB,,810,0,,
PB,,807,0,,
PB,,809,1,hepatozoon,
PB,,808,0,,
CV,,811,1,hepatozoon,
CV,,812,0,,
CV,,813,1,hepatozoon,
CV,,,1,hepatozoon,
CV,,814,1,hepatozoon,
CV,,594,0,,
