location,species,ID,fecal_parasites,parasite_type,Note,parasites is presence absence
GL,C. oedirhina,1,0,,,
GL,C. oedirhina,2,0,,,
GL,C. oedirhina,3,0,,,
GL,C. oedirhina,4,0,,,
GL,C. oedirhina,5,0,,,
GL,C. oedirhina,6,0,,,
GL,C. oedirhina,7,0,,,
GL,C. oedirhina,8,0,,,
GL,C. oedirhina,9,0,,,
GL,C. oedirhina,10,0,,,
GL,C. oedirhina,11,0,,,
GL,C. oedirhina,12,0,,,
GL,C. oedirhina,13,0,,,
GL,C. oedirhina,14,0,,,
GL,C. oedirhina,15,1,pinworm eggs,possible I.i.,
GL,C. oedirhina,16,1,pinworm eggs,possible I.i.,
GL,C. oedirhina,17,0,,,
CV,C. oedirhina,1,0,,,
CV,C. oedirhina,2,0,,,
CV,C. oedirhina,3,0,,,
CV,C. oedirhina,4,0,,,
CV,C. oedirhina,5,0,,,
CV,C. oedirhina,6,0,,,
CV,C. oedirhina,7,0,,,
CV,C. oedirhina,8,0,,,
MB,C. oedirhina,1,0,,,
MB,C. oedirhina,2,0,,,
MB,C. oedirhina,3,0,,,
PB,C. oedirhina,1,0,,,
PB,C. oedirhina,2,1,possible eggs,,
PB,C. oedirhina,3,0,,,
PB,C. oedirhina,4,1,possible eggs,,
PB,C. oedirhina,5,0,,,
PB,C. oedirhina,6,1,"pinworm eggs, Pharyngodon or Tachygonetria?",,
PB,C. oedirhina,7,0,,,
PB,C. oedirhina,8,0,,,
PB,C. oedirhina,9,0,,,
PB,C. oedirhina,10,0,,,
PB,C. oedirhina,11,0,,,
PB,C. oedirhina,12,0,,,
PB,C. oedirhina,13,0,,,
PB,C. oedirhina,14,1,pinworm eggs,,
IF,C. oedirhina,1,0,,,
IF,C. oedirhina,2,0,,,
IF,C. oedirhina,3,0,,,
IF,C. oedirhina,4,0,,,
GL,I. iguana,1,0,,,
GL,I. iguana,2,1,pinworm eggs and adults,,
GL,I. iguana,3,1,"pinworm eggs, lungworm eggs (?)",,
GL,I. iguana,4,1,pinworm eggs,,
GL,I. iguana,5,1,pinworm eggs and adults,,
IF,I. iguana,1,0,,,
IF,I. iguana,2,1,eggs?,,
IF,I. iguana,3,1,eggs?,,
IF,I. iguana,4,1,lungworm eggs,,
IF,I. iguana,5,1,lungworm eggs,,
