"","phys_ID","field_ID","PIT","sex","beads","site","SVL_mm","mass_g","tail_length_mm","date_caught","month_caught","tail_break","tail_break_num","parasites","parasite.num","total_follicles","fol_left","fol_right","size_left_cm","size_right_cm","glucose","comments","radio_tracker_serial_num","bka","drom","oxy","cort","t","calcSVL","BCI_mal"
"1",1,1051,"0A181F3F34",1,"BlY:Ybl","GR",270,1340,"269+152","4/5/2022","april","Y",1,"N",0,NA,NA,NA,NA,NA,194,"weighed more than 1500 (didn't have large enough pesola scale), incorrectly sexed the first time","na",34.3587271,8.545129412,353.1167513,69.355,128.269,319.324,-49.324
"2",2,1202,"0A181F173F",1,"GW:WG","GR",265,765,"409","4/5/2022","april","N",0,"na",NA,NA,NA,NA,NA,NA,168,"na","na",32.27579556,5.843576471,354.4974619,27.169,196.304,245.379,19.621
"3",3,1203,"0A181F143C",1,"OO:OO","GR",261,884,"101+49","4/5/2022","april","Y",1,"N",0,NA,NA,NA,NA,NA,224,"na","na",32.82545805,6.744094118,352.4263959,87.003,102.087,260.6824,0.317600000000027
"4",4,1204,"0A181E505A",1,"BrG:GBr","GR",172,248,"305","4/5/2022","april","N",0,"N",0,NA,NA,NA,NA,NA,223,"na","na",72.25650916,11.32498824,343.106599,41.821,NA,178.8928,-6.89279999999999
"5",5,1205,"989 001030263080",1,"PP:PP","GR",142,130,"170","4/5/2022","april","N",0,"N",0,NA,NA,NA,NA,NA,269,"no pic","na",35.48698168,3.876141176,355.1878173,716.77,6.698,163.718,-21.718
"6",7,1207,"989 001030263074",1,"WG:GW","GR",209,385,"183+165","4/5/2022","april","Y",1,"N",0,NA,NA,NA,NA,NA,225,"na","na",NA,7.683764706,354.4974619,58.674,NA,196.511,12.489
"7",9,1209,"989 001030263101",1,"AgB:BAg","GR",201,337,"178+0","4/6/2022","april","Y",1,"N",0,NA,NA,NA,NA,NA,195,"na","na",67.13596914,3.318211765,355.8781726,118.516,246.466,190.3382,10.6618
"8",10,1210,"989 001030263058",1,"AgR:RAg","GR",295,917,"180+188","4/6/2022","april","Y",1,"N",0,NA,NA,NA,NA,NA,170,"na","na",32.65188042,4.16,347.5939086,168.312,95.6,264.9262,30.0738
"9",12,1212,"989 001030263090",1,"AgP:PAg ","M",186,280,"98+121","4/6/2022","april","Y",1,"N",0,NA,NA,NA,NA,NA,165,"na","na",55.13018322,5.872941176,334.822335,72.395,1.234,183.008,2.99200000000002
"10",13,1213,"989 001030263066",1,"B:B","M",175,640,"163+84","4/6/2022","april","Y",1,"Y",1,NA,NA,NA,NA,NA,161,"na","na",25.91128255,4.483011765,353.8071066,243.36,58.066,229.304,-54.304
"11",14,1214,"989 001030263094",1,"AgPu:PuAg ","M",239,512,"109+127","4/6/2022","april","Y",1,"N",0,NA,NA,NA,NA,NA,175,"na","na",36.00771456,3.142023529,346.9035533,92.848,91.624,212.8432,26.1568
"12",17,1217,"989 001030263060",1,"AgG:GAg ","M",183,235,"146+117","4/6/2022","april","Y",1,"N",0,NA,NA,NA,NA,NA,225,"na","na",27.03953713,5.706541176,357.2588832,37.074,113.919,177.221,5.779
"13",18,1218,"989 001030263016",1,"YY:YY","M",218,515,"136+152","4/7/2022","april","Y",1,"Y",1,NA,NA,NA,NA,NA,152,"right front paw missing two toes","na",16.13307618,5.236705882,349.319797,163.484,49.681,213.229,4.77100000000002
"14",19,1219,"989 001030263019",1,"Lg:Lg","M",174,186,"161+91","4/7/2022","april","Y",1,"Y",1,NA,NA,NA,NA,NA,188,"","na",21.10896818,0.773270588,353.1167513,394.813,NA,170.9196,3.0804
"15",20,1220,"989 001030263021",1,"AgR:RAg","M",190,49,"99+142","4/7/2022","april","Y",1,"Y",1,NA,NA,NA,NA,NA,168,"","na",14.71552555,5.070305882,335.1675127,100.585,109.308,153.3014,36.6986
"16",21,1221,"989 001030263062",1,"AgY:YAg","M",183,275,"160+112","4/7/2022","april","Y",1,"Y",1,NA,NA,NA,NA,NA,178,"","na",60.82931533,4.150211765,342.7614213,39.794,133.928,182.365,0.634999999999991
"17",24,1224,"989 001030263020",1,"LgLg:LgLg","M",185,302,"126+114","4/7/2022","april","Y",1,"N",0,NA,NA,NA,NA,NA,188,"","na",68.7270974,12.50936471,345.5228426,39.397,2.429,185.8372,-0.837199999999996
"18",25,1225,"989 001030263048",1,"WG:GW","M",162,125,"136+152","4/7/2022","april","Y",1,"Y",1,NA,NA,NA,NA,NA,222,"","na",19.11282546,2.652611765,351.3908629,99.789,117.059,163.075,-1.07499999999999
"19",26,1226,"989 001030263047",1,"YO:OY","M",186,259,"321","4/7/2022","april","N",0,"Y",1,NA,NA,NA,NA,NA,186,"","na",32.07328833,9.6512,345.8680203,933.627,9.085,180.3074,5.6926
"20",27,1227,"989 001030263038",1,"Au:Au","M",202,335,"128+132","4/7/2022","april","Y",1,"Y",1,NA,NA,NA,NA,NA,183,"","na",56.14271938,13.11623529,346.5583756,155.318,NA,190.081,11.919
